Date,GDP,Inflation,Aus Cash Rate,US Cash Rate,Aus Duration,US Duration,Aus Eq Perf,US Eq Perf,Int Fixed Interest Perf,IG Credit Perf
31-Dec-80,2.93,9.24,12.45,18.9,12.6,12.84,48.86,17.18,3.06,4.25
31-Jan-81,2.93,9.24,12.61,19.08,13.1,12.57,16.99,9.09,3.06,4.25
28-Feb-81,2.93,9.24,13.36,15.93,13.1,13.19,12.51,9.91,3.06,8.96
31-Mar-81,2.93,9.45,14.63,14.7,13.1,13.12,43.64,23.83,13.22,12.35
30-Apr-81,2.93,9.45,16.69,15.72,13.1,13.68,38.8,21.63,13.22,-5.2
31-May-81,2.93,9.45,16.28,18.52,13.1,14.1,24.74,18.21,13.22,-6.25
30-Jun-81,4.16,8.4,15.58,19.1,13.1,13.47,15.79,12.76,-4.09,-8.82
31-Jul-81,4.16,8.4,15.39,19.04,13.9,14.28,3.49,8.6,-4.09,-8.21
31-Aug-81,4.16,8.4,15.72,17.82,15,14.94,-0.82,4.49,-4.09,-6.75
30-Sep-81,5.71,9.02,15.35,15.87,15,15.32,-13.63,-5.13,-1.24,-6.49
31-Oct-81,5.71,9.02,14.69,15.08,15,15.15,-21.77,-4,-1.24,-1.21
30-Nov-81,5.71,9.02,14.62,13.31,15,13.39,-15.54,-3.37,-1.24,9.37
31-Dec-81,3.53,11.03,15.54,12.37,15,13.72,-12.94,0.31,7.29,2.74
31-Jan-82,3.53,11.03,16.21,13.22,15,14.59,-12.81,4.15,7.29,2.51
28-Feb-82,3.53,11.03,17.12,14.78,15.1,14.43,-21.44,-2.15,7.29,7.16
31-Mar-82,2.29,10.79,18.89,14.68,15.15,13.86,-31.89,-4.66,10.34,6.82
30-Apr-82,2.29,10.79,21.39,14.94,15.2,13.87,-25.3,-2.85,10.34,16.56
31-May-82,2.29,10.79,18.45,14.45,16.4,13.62,-25.78,-3.25,10.34,14.13
30-Jun-82,1.69,10.92,18.57,14.15,16.4,14.3,-29.03,-4.13,13.38,10.03
31-Jul-82,1.69,10.92,17.29,12.59,16.4,13.95,-22.81,-2.2,13.38,18.44
31-Aug-82,1.69,10.92,17.17,10.12,16.5,13.06,-19.31,11.52,13.38,29.87
30-Sep-82,-1.01,12.41,15.46,10.31,15.2,12.34,-8.3,22.43,33.53,38.1
31-Oct-82,-1.01,12.41,14.57,9.71,14.55,10.91,-3.36,27.95,33.53,41.01
30-Nov-82,-1.01,12.41,14.76,9.2,14.6,10.55,-14,24.8,33.53,29.61
31-Dec-82,-2.2,11.26,12.13,8.95,14,10.54,-13.87,27.08,31.1,37.19
31-Jan-83,-2.2,11.26,10.65,8.68,13,10.46,3.24,28.33,31.1,38.83
28-Feb-83,-2.2,11.26,13.77,8.51,13.6,10.72,7.2,39.52,31.1,39.85
31-Mar-83,-2.4,11.36,15.26,8.77,14.4,10.51,17.12,60.28,30.57,38.48
30-Apr-83,-2.4,11.36,13.92,8.8,14.1,10.4,23.8,65.27,30.57,39.7
31-May-83,-2.4,11.36,12.15,8.63,13.1,10.38,29.33,63.2,30.57,34.07
30-Jun-83,-3.46,11.11,14.24,8.98,14.7,10.85,34.7,72.92,29.12,38.29
31-Jul-83,-3.46,11.11,12.8,9.37,14.8,11.38,51.93,65.59,29.12,27.86
31-Aug-83,-3.46,11.11,12.16,9.56,14.7,11.85,52.77,51.2,29.12,20.13
30-Sep-83,-0.06,9.2,11.06,9.45,14.15,11.65,49.89,47.68,15.24,18.52
31-Oct-83,-0.06,9.2,10.94,9.48,13.4,11.54,42.99,31.95,15.24,11.43
30-Nov-83,-0.06,9.2,10.55,9.34,13.2,11.69,60.73,30.81,15.24,10.49
31-Dec-83,3.3,8.63,8.89,9.47,13.5,11.83,66.8,32.42,7.98,8.94
31-Jan-84,3.3,8.63,9.76,9.56,13.5,11.67,49,26.75,7.98,11.12
29-Feb-84,3.3,8.63,12.04,9.59,14,11.84,54.55,16.8,7.98,6.58
31-Mar-84,6.95,5.83,13.77,9.91,14.1,12.32,52.53,7.81,5.23,3.79
30-Apr-84,6.95,5.83,13.88,10.29,13.9,12.63,33.16,2.55,5.23,-1.16
31-May-84,6.95,5.83,13.78,10.32,14.15,13.41,10.04,-0.17,5.23,-2.71
30-Jun-84,8.34,4,12.81,11.06,13.75,13.56,13.47,2.92,1.77,-0.7
31-Jul-84,8.34,4,12.3,11.23,13.15,13.36,5.72,3.2,1.77,6.84
