Date,GDP,Inflation,Aus Cash Rate,US Cash Rate,Aus Duration,US Duration,Aus Eq Perf,US Eq Perf,Int Fixed Interest Perf,IG Credit Perf
31-Dec-80,0.2437655,0.769745649,1.0375,1.575,1.05,1.07,-2.616773518,-3.64498391,1.53,1.985613866
31-Jan-81,0.2437655,0.769745649,1.050833333,1.59,1.091666667,1.0475,-7.711944109,-1.641684806,0,-0.479866284
28-Feb-81,0.2437655,0.769745649,1.113333333,1.3275,1.091666667,1.099166667,-0.524093755,1.658146629,0,-2.078828332
31-Mar-81,0.2437655,0.787401575,1.219166667,1.225,1.091666667,1.093333333,9.410215132,2.150933713,0.69,2.539090651
30-Apr-81,0.2437655,0.787401575,1.390833333,1.31,1.091666667,1.14,0.193953986,1.549756293,0,-5.351633291
31-May-81,0.2437655,0.787401575,1.356666667,1.543333333,1.091666667,1.175,1.13477071,-1.060892602,0,4.314660234
30-Jun-81,0.346382834,0.699745547,1.298333333,1.591666667,1.091666667,1.1225,-1.683057224,-0.988793406,0.02,0.251279532
31-Jul-81,0.346382834,0.699745547,1.2825,1.586666667,1.158333333,1.19,-9.304511278,-0.272067838,0,-2.543521349
31-Aug-81,0.346382834,0.699745547,1.31,1.485,1.25,1.245,-0.52553664,-3.188773947,0,-2.457838197
30-Sep-81,0.475930837,0.751879699,1.279166667,1.3225,1.25,1.276666667,-7.805640301,-6.998915845,-3.41,-1.529532657
31-Oct-81,0.475930837,0.751879699,1.224166667,1.256666667,1.25,1.2625,-3.979015335,3.858749887,0,4.447695367
30-Nov-81,0.475930837,0.751879699,1.218333333,1.109166667,1.25,1.115833333,8.523157098,5.831844764,0,10.8950583
31-Dec-81,0.294028627,0.919117647,1.295,1.030833333,1.25,1.143333333,0.379521338,0.026411357,10.29,-4.195170236
31-Jan-82,0.294028627,0.919117647,1.350833333,1.101666667,1.25,1.215833333,-7.577160494,2.129265958,0,-0.701736569
28-Feb-82,0.294028627,0.919117647,1.426666667,1.231666667,1.258333333,1.2025,-10.36900985,-4.494536347,0,2.364863868
31-Mar-82,0.190912747,0.899280576,1.574166667,1.223333333,1.2625,1.155,-5.141579732,-0.472043279,3.56,2.208778624
30-Apr-82,0.190912747,0.899280576,1.7825,1.245,1.266666667,1.155833333,9.888059701,3.486143398,0,3.286451612
